entidad,url,departamento,municipio,valor_inicial,valor_final,sobrecosto_pct,objeto,contratista,estado
INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-22-10471,Bogotá D.C.,Bogotá D.C.,223921530700,224023982713,0.0457535336953642,CONTRIBUIR AL DESARROLLO INTEGRAL DE NIÑOS; NIÑAS Y ADOLECENTES ENTRE LOS 6 T 17; 11 Y 29 DIAS AÑOS FORTALECIENDO EN ELLOS Y SUS FAMILIAS HABLIDADES; CAPACIDADES Y CONOCIMIENTOS PARA EL EJERCICIO DE SUS DERECHOS; LA PREVENCION DE RIESGOS Y VULNERACIONES Y LA POTENCIACION DE SUS VOCACIONES; INTERES Y TALENTOS EN LA CONSTRUCCION DE SU PROYECTO DE VIDA A TRAVES DE LA IMPLEMENTACION DEL PORGRAMA GENERACIONES.,ALDEAS INFANTILES SOS COLOMBIA,Liquidado
ANTIOQUIA - ÁREA METROPOLITANA DEL VALLE DE ABURRÁ - MEDELLÍN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7462,Antioquia,Medellín,105418335674,110474175646,4.795977796153875,CONSTRUCCION DEL INTERCAMBIO VIAL DE LA AYURA EN LOS MUNICIPIOS DE MEDELLIN; ENVIGADO E ITAGÜI,CONSORCIO ABURRA SUR,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE RIONEGRO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6363,Antioquia,Rionegro,46952850500,71883941078,53.0981406080979,CONSTRUCCION; AMPLIACION Y PAVIMENTACION DE VIAS; PUENTES; GLORIETAS Y OBRAS  COMPLEMENTARIAS  ENTRE VILLAS DE LLANOGRANDE; LOTUS (TRANSVERSAL  2); UBICADA EN EL aREA  RURAL DEL MUNICIPIO DE RIONEGRO,EXPLANAN S.A,Liquidado
NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE CÚCUTA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4526,Norte De Santander,San José de Cúcuta,43371238623,54791148926,26.33060679282505,ESTUDIOS; DISEÑOS Y CONSTRUCCION DE LA INTERSECCION VIAL REDOMA TERMINAL  DE TRANSPORTES EN EL MUNICIPIO DE SAN JOSE DE CUCUTA; DEPARTAMENTO NORTE DE SANTANDER DE CONFORMIDAD CON LAS ESPECIFICACIONES TECNICAS DEL PROYECTO NO. 2018540010186 INSCRITO EN EL BANCO DE PROGRAMAS Y PROYECTO S DE INVERSION MUNICIPIAL,UNION TEMPORAL EL INDIO GANT,Liquidado
VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE CALI,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7012,Valle del Cauca,Cali,40110983232,55063656486,37.27825161381474,CONSTRUCCION PUENTE VEHICULAR A DESNIVEL EN LA CARRERA 100 CON CALLE 25; SANTIAGO DE CALI,CONSORCIO ISLAS 2019,Liquidado
GUAVIARE - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17703,Guaviare,San José del Guaviare,37715126875,56489935112,49.780578225881946,PAVIMENTACIoN DE LA VIA 7506 QUE COMUNICA A LOS MUNICIPIOS: SAN JOSe DEL GUAVIARE Y EL RETORNO - ETAPA - 1; GUAVIARE,CONSORCIO GUAVIARE 7506,Liquidado
CÓRDOBA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-204765,Córdoba,Montería,34224873099,40497153837,18.326673468902552,REHABILITACIoN DE LA ESTRUCTURA DE PAVIMENTO DE LA VIA LA CEIBA (CRUCE ViA MONTERiA - PUERTO REY) - CANALETE EN EL DEPARTAMENTO DE CoRDOBA,CONSORCIO PAVIMENTAR 2019,Liquidado
BOYACÁ - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-1496,Boyacá,Tunja,32658182171,32660538970,0.0072165651708955,REHABILITACIoN DE LA VIA VADO HONDO - LABRANZAGRANDE DEPARTAMENTO DE BOYACa EN CUMPLIMIENTO A LA META INTERVENIR 200 KILOMETROS DE VIAS,CONSORCIO BICENTENARIO,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE RIONEGRO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6540,Antioquia,Rionegro,31595665637,47393498456,50.0000000015825,CONSTRUCCION DE VIAS; PUENTES ; GLORIETAS   Y OBRAS COMPLEMENTARIAS  PARA E LA VARIANTE ENTRE SAN ANTONIO DE PEREIRA; PALOS VERDES; LIBERTADORES DENTRO DEL PLAN VIAL DEL MUNICIPIO DE RIONEGRO,MINCIVIL SA,Liquidado
BOLÍVAR - TRANSCARIBE S.A.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5472,Bolívar,Cartagena,31074451269,31639311316,1.8177635450750715,SELECCIONAR LAS PROPUESTAS MAS FAVORABLES PARA LA ADJUDICACION DE DOS CONTRATOS DE OBRA PUBLICA POR EL SISTEMA DE PRECIOS UNITARIOS FIJOS SIN FORMULA DE REAJUSTE PARA (I) LA CONSTRUCCION Y REHABILITACION DE LAS RUTAS PRECARGAS ALIMENTADORAS Y (II) LA REHABILITACION DE LAS RUTAS PRECARGAS COMPLEMENTARIAS DEL SISTEMA INTEGRADO DE TRANSPORTE MASIVO DE CARTAGENA DE INDIAS DISTRITO TURISTICO Y CULTURAL.,CONSORCIO RUTAS COMPLEMENTARIAS,Liquidado
CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3930,Valle del Cauca,Cali,30653231971,34641369049,13.01049455983318,REALIZAR LA CONSTRUCCIoN DE LAS OBRAS DE REFORZAMIENTO Y RECONSTRUCCION DE LOS DIQUES MARGEN IZQUIERDA RiO CAUCA SECTOR LAS PALMAS TRAMO IV-4; NAVARRO TRAMO V-4 Y OBRAS COMPLEMENTARIAS; PARA DISMINUCIoN DEL RIESGO CONTRA INUNDACIONES POR DESBORDAMIENTO; POR LICUACIoN Y CORRIMIENTO LATERAL.,CONSORCIO LAS PALMAS - NAVARRO 2.018,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE RIONEGRO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6581,Antioquia,Rionegro,29644842809,45491789602,53.45599872160213,CONSTRUCCION AMPLIACION Y PAVIMENTACION  DE VIAS PUENTES; GLORIETAS Y OBRAS COMPLEMENTARIAS  DEL SECTOR BELEN GALICIA,EXPLANAN S.A,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE RIONEGRO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6380,Antioquia,Rionegro,29400000001,42898558768,45.91346519231587,CONSTRUCCIoN Y/O AMPLIACIoN Y/O REHABILITACIoN DE ViAS Y OBRAS COMPLEMENTARIAS PARA EL TRAMO ViA EL TANQUE -LA POCETA ( ETAPA DOS; TRAMO 11 CALZADA SUR) UBICADA  EN EL REA URBANA DEL MUNICIPIO DE RIONEGRO ANTIOQUIA,CONSORCIO SAN NICOLAS  LP 015,Liquidado
ATLÁNTICO - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-192082,Atlántico,Barranquilla,28827446286,33902589356,17.605246818080918,CONSTRUCCIoN DE OBRAS PARA LA GESTIoN DEL RIESGO MEDIANTE EL CONTROL DE INUNDACIoN EN ARROYOS DE MUNICIPIOS DEL DEPARTAMENTO DEL ATLaNTICO,CONSORCIO ARROYOS ATLANTICO,Liquidado
CARDIQUE - CORPORACIÓN AUTÓNOMA REGIONAL DEL CANAL DEL DIQUE,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8302,Bolívar,Cartagena,28393419604,34851563659,22.745214014623976,CONTRATAR LAS OBRAS A EJECUTAR EN LA JURISDICCIoN DE LA CORPORACIoN AUToNOMA REGIONAL DEL CANAL DEL DIQUE PREVISTAS COMO ACCIONES OPERATIVAS DEFINIDAS POR EL PLAN DE ACCIoN INSTITUCIONAL DENTRO DEL PROGRAMA PAI 01 ADMINISTRACIoN DEL RECURSO HIDRICO EN SU PROYECTO PAI 01-01 AGUAS SUPERFICIALES CONTINENTALES,CONSORCIO CANALES CARTAGENA,Liquidado
ANTIOQUIA - ÁREA METROPOLITANA DEL VALLE DE ABURRÁ - MEDELLÍN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8465,Antioquia,Medellín,28109635150,34720827065,23.519308876550824,CONSTRUCCIoN DEL INTERCAMBIO VIAL DE LA CARRERA 50A CON CALLES 36 Y 37B; SECTOR INDUAMeRICA MUNICIPIO DE ITAGÜi; DEPARTAMENTO DE ANTIOQUIA,CONSORCIO VIAL INDUAMERICA,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE SABANETA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7466,Antioquia,Sabaneta,26787663741,36406149582,35.90640055063248,CONSTRUCCIoN PRIMERA ETAPA DEL CENTRO ADMINISTRATIVO MUNICIPAL CAM Y OBRAS COMPLEMENTARIAS EN EL MUNICIPIO DE SABANETA,CONSTRUCCIONES CIVILES Y PAVIMENTOS S.A.S,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6646,Tolima,Ibagué,25111685227,37188498704,48.092405459172646,PAVIMENTACIoN DE LA PRIMERA ETAPA DE LA ViA SECUNDARIA IBAGUE ROVIRA DEPARTAMENTO DEL TOLIMA,UNION TEMPORAL ROVIRA 2018,Liquidado
ANTIOQUIA - ALCALDÍA MUNICIPIO DE RIONEGRO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-6250,Antioquia,Rionegro,23879922977,36560862978,53.10293510248619,CONSTRUCCION DE VIAS; PUENTES ; GLORIETAS   Y OBRAS COMPLEMENTARIAS  EN EL TRAMO JUMBO ( TRAMO 16) TRANSVERSAL N° 02,MINCIVIL SA,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13305,Tolima,Ibagué,23505672617,35251519624,49.97026546904706,MEJORAMIENTO DE LA SEGUNDA ETAPA DE LA ViA IBAGUe - ROVIRA EN EL DEPARTAMENTO DEL TOLIMA,CONSORCIO CONSTRUCCIONES 2019,Liquidado
CVC - CORPORACIÓN AUTÓNOMA REGIONAL DEL VALLE DEL CAUCA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3929,Valle del Cauca,Cali,21852074715,24296163244,11.184697841630092,REALIZAR LA CONSTRUCCIoN DE LAS OBRAS DE REFORZAMIENTO Y RECONSTRUCCION DE LOS DIQUES MARGEN IZQUIERDA RiO CAUCA SECTOR PUERTO NUEVO TRAMO IV-2; BRISAS DEL CAUCA TRAMO IV-3; SAMANES TRAMO V-3 Y OBRAS COMPLEMENTARIAS; PARA DISMINUCIoN DEL RIESGO CONTRA INUNDACIONES POR DESBORDAMIENTO; POR LICUACIoN Y CORRIMIENTO LATERAL.,CONSORCIO ECOING,Liquidado
CÓRDOBA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13461,Córdoba,Montería,21760773530,25053769738,15.132716690701209,MEJORAMIENTO DE ViA ENTRE LOS MUNICIPIOS DE LORICA Y MOÑITOS DEL DEPARTAMENTO DE CoRDOBA,CONSORCIO VIAS LORICA,Liquidado
CASANARE - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-15812,Casanare,Yopal,21318009743,25571224844,19.95127665422233,CONSTRUCCIoN DE INFRAESTRUCTURA INSTITUCIONAL TIPO IV DE COBERTURA REGIONAL PARA EL DESARROLLO DE LA EDUCACIoN SUPERIOR EN EL MUNICIPIO DE AGUAZUL; CASANARE,CONSORCIO UPTC AGUAZUL,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7327,Tolima,Ibagué,21221757249,31331590144,47.63899980750364,MEJORAMIENTO Y REHABILITACIoN DE LA ViA CHAPARRAL - SAN ANTONIO EN EL DEPARTAMENTO DEL TOLIMA,CONSORCIO INFRAESTRUCTURA VIAL 2019,Liquidado
CESAR - ALCALDÍA MUNICIPIO DE LA JAGUA DE IBIRICO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20772,Cesar,La Jagua de Ibirico,20365882350,23850990090,17.112480962554514,CONSTRUCCIoN DE PLACA HUELLA DE LA ViA QUE VA DESDE EL CORREGIMIENTO DE LA VICTORIA DE SAN ISIDRO HASTA LA VEREDA ARGENTINA NORTE EN EL MUNICIPIO DE LA JAGUA DE IBIRICO CESAR,JP INGENIERIA - CONSTRUCCIONES S.A.S.,Liquidado
ANTIOQUIA - ÁREA METROPOLITANA DEL VALLE DE ABURRÁ - MEDELLÍN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9434044,Antioquia,Medellín,20271106341,24236272174,19.56067797335817,CONSTRUCCIoN DEL  NUEVO CENTRO ADMINISTRATIVO Y DE GOBIERNO DEL MUNICIPIO DE CALDAS,CONSORCIO NUEVO CENTRO 2019,Liquidado
ANTIOQUIA - AGENCIA DE DESARROLLO LOCAL DE ITAGÜÍ - ADELI,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9190818,Antioquia,Itagüí,19898010001,33826617001,69.99999999648206,CONSTRUCCION Y RENOVACION DEL COMPLEJO DEPORTIVO OSCAR LOPEZ ESCOBAR DEL MUNICIPIO DE ITAGUI.,CONSORCIO OLE 2019,Liquidado
GUAVIARE - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-30876,Guaviare,San José del Guaviare,19387028406,27959914028,44.21969908161283,CONSTRUCCIoN EN PAVIMENTO RiGIDO DE ViAS URBANAS EN LOS MUNICIPIOS DE SAN JOSe DEL GUAVIARE; EL RETORNO; CALAMAR DEPARTAMENTO DEL GUAVIARE,CONSORCIO GUAVIAL,Liquidado
META - ALCALDÍA MUNICIPIO DE MESETAS,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-17381,Meta,Mesetas,19382081781,19625182629,1.2542556096234645,MEJORAMIENTO VIAL MEDIANTE LA CONSTRUCCIoN DE PAVIMENTO EN ASFALTO DE LAS ViAS: 1) ViA QUE CONDUCE DESDE EL PUENTE DEL RiO LUCIA HACIA LA VEREDA LAS ROSAS EN UNA LONGITUD DE 5 KMS; EN LA ViA QUE COMUNICA AL MUNICIPIO DE MESETAS-META CON EL MUNICIPIO DE LEJANiAS-META. 2) ViA QUE CONDUCE DEL CASCO URBANO DEL MUNICIPIO DE MESETAS-META; HACIA LA VEREDA ALTO CAFRE DESDE EL K0+000 HASTA EL K3+300 MUNICIPIO MESETAS-META. 3) ViA QUE CONDUCEDESDE EL CRUCE 3 ESQUINAS HACIA LA VEREDA NARANJAL (SECTOR LA CARBONERA) LONGITUD 2.59 KMS MUNICIPIO MESETAS-META; EN EL MUNICIPIO DE MESETAS; DEPARTAMENTO DEL META,CONSORCIO PAVIMENTEMOS,Liquidado
HUILA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-8751,Huila,Neiva,16978453631,17464976000,2.865528154529257,MEJORAMIENTO DE VIAS TERCIARIAS PARA LA PAZ EN EL DEPARTAMENTO DEL HUILA,CONSORCIO VIAS PARA LA PAZ,Liquidado
CDMB - CORPORACIÓN AUTÓNOMA REGIONAL PARA LA DEFENSA DE LA MESETA DE BUCARAMANGA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4032,Santander,Bucaramanga,16961480909,20961426517,23.5825257797954,CONTRATAR LA CONSTRUCCION DE OBRAS DE CONTROL DE EROSION Y ESTABILIZACION PARA EL SECTOR CRITICO UBICADO EN EL BARRIO SANTANDER DEL MUNICIPIO DE BUCARAMANGA DEPARTAMENTO DE SANTANDER Y LA CONSTRUCCION DE OBRAS DE ESTABILIZACION; MITIGACION Y CONSOLIDACION DEL BARRIO PROVENZA UBICADO EN EL SECTOR SUR OCCIDENDAL DE LA MESETA DE BUCARAMANGA,UNION TEMPORAL MACPERC,Liquidado
CUNDINAMARCA - ALCALDÍA MUNICIPIO DE SOPÓ,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7801,Cundinamarca,Sopó,16932183053,26364137599,55.70430296245156,CONSTRUCCIoN DE LA NUEVA SEDE DEL COLEGIO PABLO VI; FASE I; EN EL MUNICIPIO DE SOPo,ARCO CONSTRUCTORES SAS,Liquidado
RISARALDA - ALCALDÍA MUNICIPIO DE PEREIRA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-189726,Risaralda,Pereira,16930449221,19687550424,16.284867383082652,CONSTRUCCION AVENIDA SAN MATEO DESDE LA AVENIDA LAS AMERICAS HASTA LA INTERSECCION AVENIDA 30 DE AGOSTO DEL MUNICIPIO DE PEREIRA.,CONSORCIO SAN MATEO WSB,Liquidado
META - ALCALDÍA MUNICIPIO DE PUERTO GAITÁN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5783,Meta,Puerto Gaitán,16670736929,21569712552,29.38667704891836,CONSTRUCCIoN SEGUNDA ETAPA Y OBRAS COMPLEMENTARIAS DE LA URBANIZACON LAS MARGARITAS MUNICIPIO DE PUERTO GAITaN-META,CONSORCIO MARGARITAS,Liquidado
GUAVIARE - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-16321,Guaviare,San José del Guaviare,16301756456,18727534319,14.880469288983711,CONSTRUCCIoN EN PAVIMENTO RiGIDO DE LA ViA QUE COMUNICA EL CASCO URBANO DEL MUNICIPIO DE SAN JOSe DEL GUAVIARE DESDE EL PUENTE PANURE K0+000 HASTA EL BATALLoN FLUVIAL DE INFANTERiA DE MARINA NO.32 K4+068; ZONA RURAL DEL MUNICIPIO DE SAN JOSE DEL GUAVIARE,CONSORCIO 5K,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-185635,Tolima,Ibagué,16147899764,20760111074,28.56229836329816,PAVIMENTACIoN DE LA VIA PALOCABILDO - SAN JERONIMO (CASABIANCA) EN EL DEPARTAMENTO DEL TOLIMA,UNION TEMPORAL SAN JERONIMO,Liquidado
SANTANDER - ALCALDÍA MUNICIPIO DE BARRANCABERMEJA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-1-197149,Santander,Barrancabermeja,16012813022,19167499859,19.7010158843782,PAVIMENTACION Y MEJORAMIENTO DE VIAS VEHICULARES EN LOS DIFERENTES SECTORES DEL MUNICIPIO BARRANCABERMEJA; SANTANDER; CENTRO ORIENTE,CONSORCIO VIAL URBANO,Liquidado
META - ALCALDÍA MUNICIPIO DE GUAMAL,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24328,Meta,Guamal,15589252126,17905972781,14.86101216578656,CONSTRUCCION Y PUESTA EN AMRCHA DEL SERVICIO DE GAS DOMICILIARIO EN EL SECTOR RURAL DEL MUNICIPIO DE GUAMAL EN  EL MARCO DEL CONVENIO MARCO SOCIOAMBIENTAL NO. 3021302 QUE TIENE POR OBJETO INTEGRAR ESFUERZOS PARA REALIZAR LOS ESTUDIOS; DISEÑOS; CONSTRUCCION Y PUESTA EN AMRCHA DEL SERVICIO DE GAS DOMICILIARIO DEL SECTOR RURAL DEL MUNICIPIO DE GUAMAL META; SUSCRITO ENTRE EL MUNICIPIO DE GUAMAL META Y ECOPETROL SA.,UNION TEMPORAL OP&S,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-11988,Tolima,Ibagué,15559153710,23248804654,49.42203854607977,MEJORAMIENTO DE LA VIA ENTRE LOS MUNICIPIOS DE CARMEN DE APICALA-CUNDAY EN EL DEPARTAMENTO DEL TOLIMA,CONSORCIO VIAL TOLIMA,Liquidado
META - ALCALDÍA MUNICIPIO DE PUERTO GAITÁN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5324,Meta,Puerto Gaitán,15554525668,17964467516,15.493509088212976,CONSTRUCCION EN PAVIMENTO FLEXIBLE Y RIGIDO DE LAS VIAS INTERNAS DE LOS CENTROS POBLADOS DE PUENTE ARIMENA; PLANAS; Y LA ViA DE ACCESO AL CENTRO POBLADO SAN MIGUEL ZONA RURAL; DEL MUNICIPIO DE PUERTO GAITAN META,CONSORCIO VIAS RURALES 2018,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-1953,Tolima,Ibagué,15358105867,20228202011,31.710265485696304,MEJORAMIENTO DE LA ViA SECUNDARIA HERRERA- EL DIAMANTE EN EL MUNICIPIO DE RIOBLANCO EN EL DEPARTAMENTO DEL TOLIMA,CONSORCIO VIAS DEL TOLIMA,Liquidado
BOGOTÁ D.C. - ALCALDÍA LOCAL DE SUMAPAZ,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3973,Bogotá D.C.,Bogotá D.C.,14628514440,16848514440,15.175840370568755,CONTRATAR LAS OBRAS PARA LA CONSERVACIoN DE LA MALLA VIAL LOCAL DE SUMAPAZ; POR EL SISTEMA DE PRECIOS UNITARIOS FIJOS; SIN FORMULA DE REAJUSTE Y A MONTO AGOTABLE,CONSORCIO PARAMO SUMAPAZ 2018,Liquidado
ANTIOQUIA - EMPRESA DE VIVIENDA Y DESARROLLO URBANO Y RURAL DEL MUNICIPIO DE ENVIGADO DESUR - ENVIGADO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12335398,Antioquia,Envigado,14390412089,19007621694,32.08531886678482,CONSTRUCCIoN DE LA ESCUELA SUPERIOR TECNOLoGICA DE ARTES DeBORA ARANGO ETAPA II EN EL MUNICIPIO DE ENVIGADO; ANTIOQUIA. EN CUMPLIMIENTO AL ACTA DE EJECUCIoN N°1 DEL CONVENIO MARCO ENV-09-09-0925-21.,CONSORCIO DEBORA,Liquidado
ANTIOQUIA - ÁREA METROPOLITANA DEL VALLE DE ABURRÁ - MEDELLÍN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-5710,Antioquia,Medellín,14334422884,15866838809,10.690461258195988,MEJORAMIENTO; AMPLIACIoN Y PAVIMENTACIoN DE LA VIA BARBOSA - LA RAYA; PARTE INTEGRAL DEL CORREDOR QUE COMUNICA EL NORTE DEL VALLE DEL ABURRa Y EL VALLE DE SAN NICOLaS,CONSORCIO CORREDOR VIAL 013,Liquidado
VALLE DEL CAUCA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4449,Valle del Cauca,Cali,14173627737,15773627737,11.288570785750418,MANTENIMIENTO CON ESTABILIZACIoN BIFASE Y PROTECCIoN SUPERFICIAL DE LAS VIAS RURALES DE LOS MUNICIPIOS DEL DEPARTAMENTO DEL VALLE DEL CAUCA,CONSORCIO EL VALLE,Liquidado
BOGOTÁ D.C. - SECRETARÍA GENERAL ALCALDÍA MAYOR,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3900,Bogotá D.C.,Bogotá D.C.,14099924774,21520200995,52.62635326028726,CONTRATAR POR EL SISTEMA DE ADMINISTRACIoN DELEGADA LA CONSTRUCCIoN Y DOTACIoN DEL SUPER CADE MANITAS EN CIUDAD BOLIVAR,CONSTRUCTORA CONCONCRETO S.A,Liquidado
ANTIOQUIA - EMPRESA DE VIVIENDA Y DESARROLLO URBANO Y RURAL DEL MUNICIPIO DE ENVIGADO DESUR - ENVIGADO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-12309514,Antioquia,Envigado,13647641007,18892175645,38.42814033069913,CONSTRUCCIoN DE LA ViA LA ACUARELA EN EL MUNICIPIO DE ENVIGADO; ANTIOQUIA. EN CUMPLIMIENTO AL ACTA DE EJECUCIoN N°1 DEL CONVENIO INTERADMINISTRATIVO ENV-09-09-0898-21,CONSORCIO ACUARELA IP,Liquidado
GUAVIARE - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-23075,Guaviare,San José del Guaviare,13586470318,13885569717,2.2014503546497943,MEJORAMIENTO DE ViAS URBANAS EN CONCRETO HIDRaULICO PARA LOS MUNICIPIOS DE SAN JOSe DEL GUAVIARE; EL RETORNO; CALAMAR; GUAVIARE,CONSORCIO LPN 008,Liquidado
META - ALCALDÍA MUNICIPIO DE CASTILLA LA NUEVA,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31779,Meta,Castilla La Nueva,13509464949,16562299103,22.5977428826741,CONSTRUCCIoN DE OBRAS DE PROTECCIoN: SECTOR 1 CRUCE DE LA RED DE ACUEDUCTO VEREDA LA PAZ (GUAMAL); SECTOR 2 LA PLAYITA; SECTOR 3 RiO GUAMAL CENTRO POBLADO SAN LORENZO EN EL MUNICIPIO DE CASTILLA LA NUEVA; META.,JMS CONSTRUCTORES SAS,Liquidado
TOLIMA - GOBERNACIÓN,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-16608,Tolima,Ibagué,13139887374,19709828440,49.99998005310148,MEJORAMIENTO DE LA ViA IBAGUe  - JUNTAS EN EL MUNICIPIO DE IBAGUe DEL DEPARTAMENTO DEL TOLIMA,CONSORCIO CANON DEL COMBEIMA,Liquidado
META - ALCALDÍA MUNICIPIO DE ACACIAS,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13681,Meta,Acacías,12962390280,15128289482,16.709103454027463,CONSTRUCCIoN; MEJORAMIENTO DE ViAS Y REPOSICIoN DE REDES DE ALCANTARILLADO Y ACUEDUCTO EN SECTORES ESPECiFICOS DEL CASCO URBANO DEL MUNICIPIO DE ACACIAS -META,CONSORCIO VIAS ACACIAS 2020,Liquidado
BOGOTÁ D.C.-SUBRED INTEGRADA SERVICIOS DE SALUD SUR E.S.E,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-10185561,Bogotá D.C.,Bogotá D.C.,12653870036,14540855664,14.91232028329329,CONTRATO DE OBRA PARA LA CONSTRUCCIoN DEL CAPS MANUELA BELTRAN DE LA SUBRED INTEGRADA DE SERVICIOS DE SALUD SUR E.S.E.,CONSORCIO CAP CP BELTRAN,Liquidado
CESAR - ALCALDÍA MUNICIPIO DE LA JAGUA DE IBIRICO,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-7775,Cesar,La Jagua de Ibirico,12510770000,14855489315,18.741606751622804,CONSTRUCCIoN DEL CENTRO ADMINISTRATIVO DEL MUNICIPIO DE JAGUA DE IBIRICO; CESAR,CONSORCIO CAM 2019,Liquidado
TOLIMA - EMPRESA IBAGUEREÑA DE ACUEDUCTO Y ALCANTARILLADO IBAL S.A. E.S.P.,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9444359,Tolima,Ibagué,12487629825,14111626595,13.004843935626512,PLAN MAESTRO DE ACUEDUCTO: ACUEDUCTO COMPLEMENTARIO FASE II A ETAPA 2 CONSTRUCCION SISTEMA MATRIZ DE ABASTECIMIENTO DE AGUA POTABLE AL SECTOR SUR DE LA CIUDAD DE IBAGUE,MONTAJES J.M. S.A,Liquidado
